FileIndex,Category
1,CLINTON_PRIMARY2008
2,CLINTON_PRIMARY2008
3,CLINTON_PRIMARY2008
4,CLINTON_PRIMARY2008
5,CLINTON_PRIMARY2008
6,CLINTON_PRIMARY2008
7,CLINTON_PRIMARY2008
8,CLINTON_PRIMARY2008
9,CLINTON_PRIMARY2008
10,CLINTON_PRIMARY2008
11,CLINTON_PRIMARY2008
12,MCCAIN_PRIMARY2008
13,CLINTON_PRIMARY2008
14,CLINTON_PRIMARY2008
15,CLINTON_PRIMARY2008
16,CLINTON_PRIMARY2008
17,MCCAIN_PRIMARY2008
18,CLINTON_PRIMARY2008
19,CLINTON_PRIMARY2008
20,MCCAIN_PRIMARY2008
21,CLINTON_PRIMARY2008
22,CLINTON_PRIMARY2008
23,CLINTON_PRIMARY2008
24,CLINTON_PRIMARY2008
25,OBAMA_PRIMARY2008
26,CLINTON_PRIMARY2008
27,CLINTON_PRIMARY2008
28,CLINTON_PRIMARY2008
29,CLINTON_PRIMARY2008
30,GIULIANI_PRIMARY2008
31,CLINTON_PRIMARY2008
32,OBAMA_PRIMARY2008
33,RICHARDSON_PRIMARY2008
34,CLINTON_PRIMARY2008
35,OBAMA_PRIMARY2008
36,CLINTON_PRIMARY2008
37,CLINTON_PRIMARY2008
38,CLINTON_PRIMARY2008
39,MCCAIN_PRIMARY2008
40,OBAMA_PRIMARY2008
41,CLINTON_PRIMARY2008
42,CLINTON_PRIMARY2008
43,CLINTON_PRIMARY2008
44,OBAMA_PRIMARY2008
45,CLINTON_PRIMARY2008
46,CLINTON_PRIMARY2008
47,CLINTON_PRIMARY2008
48,CLINTON_PRIMARY2008
49,OBAMA_PRIMARY2008
50,CLINTON_PRIMARY2008
51,CLINTON_PRIMARY2008
52,MCCAIN_PRIMARY2008
53,CLINTON_PRIMARY2008
54,CLINTON_PRIMARY2008
55,CLINTON_PRIMARY2008
56,CLINTON_PRIMARY2008
57,CLINTON_PRIMARY2008
58,CLINTON_PRIMARY2008
59,MCCAIN_PRIMARY2008
60,CLINTON_PRIMARY2008
61,CLINTON_PRIMARY2008
62,RICHARDSON_PRIMARY2008
63,CLINTON_PRIMARY2008
64,CLINTON_PRIMARY2008
65,CLINTON_PRIMARY2008
66,CLINTON_PRIMARY2008
67,CLINTON_PRIMARY2008
68,RICHARDSON_PRIMARY2008
69,RICHARDSON_PRIMARY2008
70,MCCAIN_PRIMARY2008
71,CLINTON_PRIMARY2008
72,CLINTON_PRIMARY2008
73,MCCAIN_PRIMARY2008
74,CLINTON_PRIMARY2008
75,CLINTON_PRIMARY2008
76,CLINTON_PRIMARY2008
77,CLINTON_PRIMARY2008
78,OBAMA_PRIMARY2008
79,OBAMA_PRIMARY2008
80,CLINTON_PRIMARY2008
81,CLINTON_PRIMARY2008
82,MCCAIN_PRIMARY2008
83,OBAMA_PRIMARY2008
84,CLINTON_PRIMARY2008
85,CLINTON_PRIMARY2008
86,CLINTON_PRIMARY2008
87,MCCAIN_PRIMARY2008
88,CLINTON_PRIMARY2008
89,CLINTON_PRIMARY2008
90,OBAMA_PRIMARY2008
91,CLINTON_PRIMARY2008
92,CLINTON_PRIMARY2008
93,CLINTON_PRIMARY2008
94,CLINTON_PRIMARY2008
95,CLINTON_PRIMARY2008
96,MCCAIN_PRIMARY2008
